schema_name,table_name,primary_key_name,key_ordinal,column_name
dbo,Address,PK_Address,1,AddressID
dbo,Affiliate,PK_Affiliate,1,AffiliateID
dbo,AffiliateActivity,PK_AffiliateActivity,1,AffiliateActivityID
dbo,AffiliateStore,PK_AffiliateStore,1,AffiliateID
dbo,AffiliateStore,PK_AffiliateStore,2,StoreID
dbo,AppConfig,PK_AppConfig,1,AppConfigID
dbo,aspdnsf_SysLog,PK_aspdnsf_SysLog,1,SysLogID
dbo,AuditLog,PK_AuditLog,1,AuditLogID
dbo,BadWord,PK_BadWord,1,BadWordID
dbo,BadWord,PK_BadWord,2,LocaleSetting
dbo,builder_Option,PK_builder_Option,1,id
dbo,builder_Option_Map,PK_builder_Option_Map,1,id
dbo,builder_Part,PK_builder_Part,1,id
dbo,builder_Part_Map,PK_builder_Part_Map,1,id
dbo,builder_Product,PK_builder_Product,1,id
dbo,builder_Product_Map,PK_builder_Product_Map,1,id
dbo,Category,PK_Category,1,CategoryID
dbo,CIM_AddressPaymentProfileMap,PK__CIM_Addr__A499BE0207A1F8F6,1,CIMId
dbo,Compunix_Orders_ShoppingCart_TrackingNumbers,PK__Compunix__3214EC278A5993F2,1,ID
dbo,Compunix_TaxJar_Log,PK__Compunix__3214EC27A393E1C1,1,ID
dbo,CompunixFAQ,PK__Compunix__D9F8259C120DAAAA,1,fID
dbo,CompunixReviewsEmailLinks,PK__Compunix__47BCE8A808A64D17,1,EmailLinkID
dbo,Country,PK_Country,1,CountryID
dbo,CountryTaxRate,PK_CountryTaxRate,1,CountryTaxID
dbo,Coupon,PK_Coupons,1,CouponID
dbo,CouponStore,PK_CouponStore,1,CouponID
dbo,CouponStore,PK_CouponStore,2,StoreID
dbo,CouponUsage,PK_CouponUsage,1,CouponUsageID
dbo,CreditCardType,PK_CreditCardType,1,CardTypeID
dbo,Currency,PK_Currency,1,CurrencyID
dbo,Customer,PK_Customer,1,CustomerID
dbo,CustomerLevel,PK_CustomerLevel,1,CustomerLevelID
dbo,CustomerSession,PK_CustomerSession,1,CustomerSessionID
dbo,CustomReport,PK_CustomReport,1,CustomReportID
dbo,Distributor,PK_Distributor,1,DistributorID
dbo,Document,PK_Document,1,DocumentID
dbo,DocumentType,PK_DocumentType,1,DocumentTypeID
dbo,EngravingProductFormData,PK_EngravingProductFormData,1,ReqGUID
dbo,EngravingTextBatch,PK_Table_1,1,BatchRecordID
dbo,EntityStore,PK_EntityStore,1,StoreID
dbo,EntityStore,PK_EntityStore,2,EntityID
dbo,EntityStore,PK_EntityStore,3,EntityType
dbo,ErrorLog,PK_ErrorLog,1,logid
dbo,ErrorMessage,PK_ErrorMessage,1,MessageId
dbo,EventHandler,PK_EventHandler,1,EventID
dbo,ExtendedPrice,PK_ExtendedPrice,1,ExtendedPriceID
dbo,FailedTransaction,PK_FailedTransactions,1,DBRecNo
dbo,Feed,PK_Feed,1,FeedID
dbo,fsCategoryExcludeFromDeptGrouping,PK_fsCategoryExcludeFromDeptGrouping,1,categoryID
dbo,fsCategoryProductDescription,PK_fsCategoryProductDescription,1,RecordID
dbo,fsCustomKitItemName,PK_fsCustomKitItemName,1,DBName
dbo,fsDepartmentCategoryDisplayOrder,PK_fsDepartmentCategoryDisplayOrder,1,CategoryID
dbo,fsFileUpload,PK_fs_FileUpload,1,RecID
dbo,fsFreeShippingCategory,PK_fsFreeShippingCategory,1,TopLevelCategoryName
dbo,fsLimitedEngravingProduct,PK_fsLimitedEngravingProduct,1,ProductID
dbo,Genre,PK_Genre,1,GenreID
dbo,GiftCard,PK_GiftCard,1,GiftCardID
dbo,GiftCardStore,PK_GiftCardStore,1,GiftCardID
dbo,GiftCardStore,PK_GiftCardStore,2,StoreID
dbo,GiftCardUsage,PK_GiftCardUsage,1,GiftCardUsageID
dbo,GlobalConfig,PK_GlobalConfig,1,GlobalConfigID
dbo,Inventory,PK_Inventory,1,InventoryID
dbo,ISearchTagCloud,PK__ISearchT__3214EC2735C03A9E,1,ID
dbo,KitCart,PK_KitCart,1,KitCartRecID
dbo,KitGroup,PK_KitGroup,1,KitGroupID
dbo,KitGroupType,PK_KitGroupType,1,KitGroupTypeID
dbo,KitItem,PK_KitItem,1,KitItemID
dbo,Library,PK_Library,1,LibraryID
dbo,LocaleSetting,PK_Locale,1,LocaleSettingID
dbo,MailingMgrLog,PK_MailingMgrLog,1,MailingMgrLogID
dbo,Manufacturer,PK_Manufacturer,1,ManufacturerID
dbo,News,PK_News,1,NewsID
dbo,NewsStore,PK_NewsStore,1,NewsID
dbo,NewsStore,PK_NewsStore,2,StoreID
dbo,OrderNumbers,PK_OrderNumbers,1,OrderNumber
dbo,OrderOption,PK_OrderOption,1,OrderOptionID
dbo,OrderOptionStore,PK_OrderOptionStore,1,OrderOptionID
dbo,OrderOptionStore,PK_OrderOptionStore,2,StoreID
dbo,Orders,PK_Orders,1,OrderNumber
dbo,OrderShipment,PK__OrderShi__B3CBD7B5DBC6B2D1,1,OrderShipmentID
dbo,OrderTransaction,PK_OrderTransaction,1,OrderTransactionID
dbo,Product,PK_Item,1,ProductID
dbo,ProductAffiliate,PK_ProductAffiliate,1,ProductID
dbo,ProductAffiliate,PK_ProductAffiliate,2,AffiliateID
dbo,ProductCategory,PK_ProductCategory,1,ProductID
dbo,ProductCategory,PK_ProductCategory,2,CategoryID
dbo,ProductCustomerLevel,PK_ProductCustomerLevel,1,ProductID
dbo,ProductCustomerLevel,PK_ProductCustomerLevel,2,CustomerLevelID
dbo,ProductDistributor,PK_ProductDistributor,1,ProductID
dbo,ProductDistributor,PK_ProductDistributor,2,DistributorID
dbo,ProductGenre,PK_ProductGenre,1,ProductID
dbo,ProductGenre,PK_ProductGenre,2,GenreID
dbo,ProductLocaleSetting,PK_ProductLocaleSetting,1,ProductID
dbo,ProductLocaleSetting,PK_ProductLocaleSetting,2,LocaleSettingID
dbo,ProductManufacturer,PK_ProductManufacturer,1,ProductID
dbo,ProductManufacturer,PK_ProductManufacturer,2,ManufacturerID
dbo,ProductSection,PK_ProductSection,1,ProductID
dbo,ProductSection,PK_ProductSection,2,SectionID
dbo,ProductStore,PK_ProductStore,1,ProductID
dbo,ProductStore,PK_ProductStore,2,StoreID
dbo,ProductType,PK_ProductType,1,ProductTypeID
dbo,ProductVariant,PK_ProductVariants,1,VariantID
dbo,ProductVector,PK_ProductVector,1,ProductID
dbo,ProductVector,PK_ProductVector,2,VectorID
dbo,ProductView,PK_ProductView,1,ViewID
dbo,Profile,PK_Profile,1,ProfileID
dbo,PromotionLineItem,PK_[PromotionLineItem,1,id
dbo,Promotions,PK_Promotions,1,Id
dbo,PromotionStore,PK_PromotionStore,1,ID
dbo,PromotionUsage,PK_PromotionUsage,1,Id
dbo,QuantityDiscount,PK_QuantityDiscount,1,QuantityDiscountID
dbo,QuantityDiscountTable,PK_QuantityDiscountTable,1,QuantityDiscountTableID
dbo,Rating,PK_Item_Ratings_1,1,RatingID
dbo,RatingCommentHelpfulness,PK_Comment_Helpfulness,1,StoreID
dbo,RatingCommentHelpfulness,PK_Comment_Helpfulness,2,ProductID
dbo,RatingCommentHelpfulness,PK_Comment_Helpfulness,3,RatingCustomerID
dbo,RatingCommentHelpfulness,PK_Comment_Helpfulness,4,VotingCustomerID
dbo,RestrictedIP,PK_IPAddress,1,IPAddress
dbo,SalesPrompt,PK_SalesPrompts,1,SalesPromptID
dbo,Section,PK_Section,1,SectionID
dbo,SecurityLog,PK_SecurityLog,1,logid
dbo,ShippingByProduct,PK_ShippingByProduct,1,ShippingByProductID
dbo,ShippingCalculation,PK_ShippingCalculation,1,ShippingCalculationID
dbo,ShippingCalculationStore,PK_StoreShippingCalculation,1,StoreId
dbo,ShippingCalculationStore,PK_StoreShippingCalculation,2,ShippingCalculationId
dbo,ShippingImportExport,PK_ShippingImportExport,1,OrderNumber
dbo,ShippingMethod,PK_ShippingMethod,1,ShippingMethodID
dbo,ShippingMethodStore,PK_StoreShippingMethod,1,StoreId
dbo,ShippingMethodStore,PK_StoreShippingMethod,2,ShippingMethodId
dbo,ShippingMethodToCountryMap,PK_ShippingMethodToCountryMap,1,ShippingMethodID
dbo,ShippingMethodToCountryMap,PK_ShippingMethodToCountryMap,2,CountryID
dbo,ShippingMethodToStateMap,PK_ShippingMethodToStateMap,1,ShippingMethodID
dbo,ShippingMethodToStateMap,PK_ShippingMethodToStateMap,2,StateID
dbo,ShippingMethodToZoneMap,PK_ShippingMethodToZoneMap,1,ShippingMethodID
dbo,ShippingMethodToZoneMap,PK_ShippingMethodToZoneMap,2,ShippingZoneID
dbo,ShippingZone,PK_ShippingZone,1,ShippingZoneID
dbo,ShoppingCart,PK_ShoppingCart,1,ShoppingCartRecID
dbo,State,PK_State,1,StateID
dbo,StateTaxRate,PK_StateTaxRate,1,StateTaxID
dbo,Store,PK_Store,1,StoreID
dbo,StringResource,PK_StringResource,1,StringResourceID
dbo,sysdiagrams,PK__sysdiagrams__08211BE3,1,diagram_id
dbo,TaxClass,PK_TaxClass,1,TaxClassID
dbo,Topic,PK_Topic,1,TopicID
dbo,TopicStore,PK_TopicStore,1,TopicID
dbo,TopicStore,PK_TopicStore,2,StoreID
dbo,Vector,PK_Vector,1,VectorID
dbo,ZipTaxRate,PK_ZipTaxRate,1,ZipTaxID
